key,L/S,TOS 15min,TOS 1hr,TOS 1day,,Profit,Orders,wincnt,losscnt,wins$,loss$,ratio,,,,,,,,,,,,,,,17,172,18,182,19,192,201,220,211,Rank
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:ILCCIA1d:USpread:O,,,,,,11362.5,30,18,12,14837.5,-3475,4.269784173,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:USpread:O,,,,,,10762.5,18,14,4,11175,-412.5,27.09090909,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:IUCCIA1d:IUSpread:O,,,,,,9512.5,21,15,6,10475,-962.5,10.88311688,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:ILSpread:O,,,,,,7862.5,21,16,5,9150,-1287.5,7.106796117,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:ILCCIA1d:ILSpread:O,,,,,,7737.5,22,14,8,9375,-1637.5,5.72519084,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:UCCIA1h:UCCIA1d:USpread:O,,,,,,7625,10,8,2,8025,-400,20.0625,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:USpread:A,,,,,,7575,25,13,12,11212.5,-3637.5,3.082474227,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:IUCCIA1h:IUCCIA1d:IUSpread:O,,,,,,7037.5,18,15,3,7487.5,-450,16.63888889,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:ILSpread:O,,,,,,6862.5,33,15,18,10325,-3462.5,2.981949458,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:IUCCIA15:OCCIA1h:ILCCIA1d:IUSpread:O,,,,,,6775,12,8,4,7625,-850,8.970588235,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:USpread:O,,,,,,6575,39,21,18,11262.5,-4687.5,2.402666667,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:ILCCIA1h:ILCCIA1d:IUSpread:O,,,,,,6450,24,13,11,8737.5,-2287.5,3.819672131,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:ILCCIA1d:USpread:M,,,,,,6200,32,10,22,11000,-4800,2.291666667,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:IUCCIA1d:IUSpread:O,,,,,,5962.5,30,19,11,8650,-2687.5,3.218604651,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:IUCCIA15:ILCCIA1h:IUCCIA1d:IUSpread:O,,,,,,5525,21,12,9,6812.5,-1287.5,5.291262136,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:ILCCIA15:IUCCIA1h:ILCCIA1d:OSpread:O,,,,,,5525,15,12,3,6350,-825,7.696969697,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:UCCIA15:UCCIA1h:ILCCIA1d:OSpread:O,,,,,,5412.5,34,21,13,7687.5,-2275,3.379120879,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:UCCIA1d:IUSpread:H,,,,,,5412.5,21,11,10,7150,-1737.5,4.115107914,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:ILCCIA15:ILCCIA1h:ILCCIA1d:IUSpread:O,,,,,,5412.5,12,7,5,6375,-962.5,6.623376623,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:IUCCIA1d:USpread:O,,,,,,5362.5,18,8,10,7850,-2487.5,3.155778894,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:HATR1:HATRD:HCCI15:OCCIA15:OCCIA1h:OCCIA1d:ILSpread:O,,,,,,5275,13,10,3,6362.5,-1087.5,5.850574713,Y,Y,,,,,,,,,,,,,,,,,,,,,,
shortATR15:AATR1:AATRD:ACCI15:OCCIA15:OCCIA1h:OCCIA1d:OSpread:O,,,,,,5212.5,32,21,11,6050,-837.5,7.223880597,Y,Y,,,,,,,,,,,,,,,,,,,,,,
longATR15:HATR1:HATRD:HCCI15:OCCIA15:IUCCIA1h:OCCIA1d:ILSpread:O,,,,,,5175,16,11,5,6400,-1225,5.224489796,Y,Y,,,,,,,,,,,,,,,,,,,,,,
