Order_Id,Status,To_Open,Date_Pending,Date_Cancelled,Date_Filled,Order
32,Cancel Submitted,True,2020-02-07 09:00:06.300510,1/1/20,1/1/20,"Order(orderId=32, action='Buy', totalQuantity=2, orderType='STP', lmtPrice=0, auxPrice=3339.5, tif='GTC', parentId=31, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
63,Cancel Submitted,False,2020-02-07 10:30:06.065983,1/1/20,1/1/20,"Order(orderId=63, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
63,Cancel Submitted,False,2020-02-07 10:30:06.076332,1/1/20,1/1/20,"Order(orderId=63, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
64,Cancel Submitted,False,2020-02-07 10:30:06.096164,1/1/20,1/1/20,"Order(orderId=64, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
64,Cancel Submitted,False,2020-02-07 10:30:06.099448,1/1/20,1/1/20,"Order(orderId=64, action='Buy', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
66,Cancel Submitted,True,2020-02-07 10:30:06.244854,1/1/20,1/1/20,"Order(orderId=66, action='Sell', totalQuantity=2, orderType='STP', lmtPrice=0, auxPrice=3326.75, tif='GTC', parentId=65, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
122,Cancel Submitted,False,2020-02-07 13:15:06.586276,1/1/20,1/1/20,"Order(orderId=122, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
122,Cancel Submitted,False,2020-02-07 13:15:06.588032,1/1/20,1/1/20,"Order(orderId=122, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
123,Cancel Submitted,False,2020-02-07 13:15:06.613558,1/1/20,1/1/20,"Order(orderId=123, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
123,Cancel Submitted,False,2020-02-07 13:15:06.619298,1/1/20,1/1/20,"Order(orderId=123, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
11,Cancel Submitted,False,2020-02-09 17:54:36.238637,1/1/20,1/1/20,"Order(orderId=11, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
11,Cancel Submitted,False,2020-02-09 17:54:36.241122,1/1/20,1/1/20,"Order(orderId=11, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044804', conditions=[], softDollarTier=SoftDollarTier())"
12,Cancel Submitted,False,2020-02-09 17:54:36.257586,1/1/20,1/1/20,"Order(orderId=12, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
12,Cancel Submitted,False,2020-02-09 17:54:36.258774,1/1/20,1/1/20,"Order(orderId=12, action='Sell', totalQuantity=1.0, orderType='MKT', account='DU1044803', conditions=[], softDollarTier=SoftDollarTier())"
17,Cancel Submitted,True,2020-02-10 09:00:04.881782,1/1/20,1/1/20,"Order(orderId=17, action='Buy', totalQuantity=2, orderType='STP', lmtPrice=0, auxPrice=3328.75, tif='GTC', parentId=16, faProfile='cci_day', conditions=[], softDollarTier=SoftDollarTier())"
