ATR,Daily,Hourly,15 min.,key,Long,Short,L%,Order,Profit,Wins,Losses,,Long,Short,L%,Order,Profit,Wins,Losses,,Rank,Sum
,IL,IU,U,CCIA15:UCCIA1h:IUCCIA1d:IL,45,9,0.833333333,54,11221.55773,25,29,0.462962963,24,5,0.827586207,29,20535.71447,28,1,0.965517241,75.23065737,31757.2722
,IL,IU,IL,CCIA15:ILCCIA1h:IUCCIA1d:IL,35,9,0.795454545,44,9123.404074,23,21,0.522727273,18,6,0.75,24,14053.45709,23,1,0.958333333,54.9042906,23176.86117
,IU,IL,O,CCIA15:OCCIA1h:ILCCIA1d:IU,24,39,0.380952381,63,4545.096908,24,39,0.380952381,8,25,0.242424242,33,9798.775589,25,8,0.757575758,33.97958586,14343.8725
,IL,IL,IU,CCIA15:IUCCIA1h:ILCCIA1d:IL,19,28,0.404255319,47,15318.20541,27,20,0.574468085,11,15,0.423076923,26,19704.35587,24,2,0.923076923,82.96588862,35022.56128
,O,IU,O,CCIA15:OCCIA1h:IUCCIA1d:O,50,235,0.175438596,285,8460.20826,110,175,0.385964912,17,72,0.191011236,89,14140.42669,51,38,0.573033708,53.5392528,22600.63495
,IL,IU,O,CCIA15:OCCIA1h:IUCCIA1d:IL,5,45,0.1,50,12182.13108,31,19,0.62,7,24,0.225806452,31,17195.74216,30,1,0.967741935,69.59403509,29377.87323
,O,IU,U,CCIA15:UCCIA1h:IUCCIA1d:O,65,50,0.565217391,115,10439.4078,51,64,0.443478261,51,8,0.86440678,59,16585.92433,46,13,0.779661017,64.02103711,27025.33213
,O,IU,IL,CCIA15:ILCCIA1h:IUCCIA1d:O,129,20,0.865771812,149,7624.359677,68,81,0.456375839,48,24,0.666666667,72,16877.21742,57,15,0.791666667,58.04244585,24501.5771
,IU,IL,U,CCIA15:UCCIA1h:ILCCIA1d:IU,36,1,0.972972973,37,6221.703949,20,17,0.540540541,16,1,0.941176471,17,10064.36804,16,1,0.941176471,38.58051454,16286.07199
,IU,IL,IU,CCIA15:IUCCIA1h:ILCCIA1d:IU,46,12,0.793103448,58,6775.796025,31,27,0.534482759,14,16,0.466666667,30,12713.84269,28,2,0.933333333,46.16953004,19489.63872
,O,IU,IU,CCIA15:IUCCIA1h:IUCCIA1d:O,68,9,0.883116883,77,5719.087403,39,38,0.506493506,71,35,0.669811321,106,14196.06618,58,48,0.547169811,47.17754366,19915.15358
,IL,IU,IU,CCIA15:IUCCIA1h:IUCCIA1d:IL,26,49,0.346666667,75,5501.85883,30,45,0.4,12,20,0.375,32,12916.55525,29,3,0.90625,43.63187714,18418.41408
