
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3,904 K
Registry                       100 Services                   0     53,432 K
smss.exe                       472 Services                   0        376 K
csrss.exe                      656 Services                   0      2,208 K
wininit.exe                    752 Services                   0        984 K
csrss.exe                      760 Console                    1      3,660 K
services.exe                   824 Services                   0      7,568 K
lsass.exe                      844 Services                   0     13,952 K
winlogon.exe                   924 Console                    1      4,448 K
svchost.exe                    504 Services                   0     27,628 K
fontdrvhost.exe                524 Console                    1      6,120 K
fontdrvhost.exe                676 Services                   0      1,224 K
WUDFHost.exe                   820 Services                   0      2,908 K
svchost.exe                   1108 Services                   0     15,316 K
WUDFHost.exe                  1144 Services                   0      5,144 K
svchost.exe                   1204 Services                   0      3,700 K
dwm.exe                       1320 Console                    1     62,844 K
svchost.exe                   1424 Services                   0      2,200 K
svchost.exe                   1476 Services                   0      3,916 K
svchost.exe                   1504 Services                   0      5,644 K
svchost.exe                   1584 Services                   0      2,372 K
svchost.exe                   1592 Services                   0      4,596 K
svchost.exe                   1688 Services                   0      9,568 K
svchost.exe                   1776 Services                   0      6,052 K
svchost.exe                   1784 Services                   0      4,140 K
svchost.exe                   1792 Services                   0      1,700 K
svchost.exe                   1856 Services                   0      2,396 K
svchost.exe                   1992 Services                   0     11,892 K
svchost.exe                   2024 Services                   0      6,208 K
svchost.exe                   1536 Services                   0      3,540 K
svchost.exe                   2052 Services                   0      3,224 K
svchost.exe                   2236 Services                   0      8,340 K
svchost.exe                   2404 Services                   0        772 K
svchost.exe                   2452 Services                   0      4,044 K
svchost.exe                   2520 Services                   0      7,056 K
svchost.exe                   2568 Services                   0      4,372 K
svchost.exe                   2580 Services                   0      6,660 K
svchost.exe                   2600 Services                   0      1,576 K
svchost.exe                   2680 Services                   0     16,476 K
svchost.exe                   2688 Services                   0      5,600 K
Memory Compression            2740 Services                   0  1,122,824 K
svchost.exe                   2772 Services                   0      4,256 K
svchost.exe                   2832 Services                   0      6,192 K
igfxCUIService.exe            2884 Services                   0      1,400 K
svchost.exe                   2896 Services                   0      1,656 K
svchost.exe                   3020 Services                   0      4,200 K
svchost.exe                   3036 Services                   0      4,956 K
svchost.exe                   3052 Services                   0      3,408 K
svchost.exe                   2824 Services                   0      6,688 K
svchost.exe                   3208 Services                   0      4,232 K
svchost.exe                   3300 Services                   0      6,368 K
svchost.exe                   3396 Services                   0      9,096 K
dasHost.exe                   3460 Services                   0      3,120 K
RtkAudioService64.exe         3468 Services                   0      1,896 K
svchost.exe                   3560 Services                   0      2,904 K
svchost.exe                   3612 Services                   0      3,856 K
svchost.exe                   3684 Services                   0      2,620 K
svchost.exe                   3712 Services                   0      3,472 K
svchost.exe                   3896 Services                   0      7,304 K
RAVBg64.exe                   3976 Console                    1      7,004 K
svchost.exe                   4000 Services                   0      8,924 K
svchost.exe                   4060 Services                   0      4,740 K
spoolsv.exe                   2944 Services                   0     13,084 K
svchost.exe                   4100 Services                   0     25,624 K
svchost.exe                   4140 Services                   0     10,040 K
svchost.exe                   4236 Services                   0      2,872 K
wlanext.exe                   4280 Services                   0      1,080 K
conhost.exe                   4292 Services                   0      1,696 K
Corsair.Service.exe           4680 Services                   0     22,484 K
OfficeClickToRun.exe          4688 Services                   0     27,340 K
IntelCpHDCPSvc.exe            4700 Services                   0      1,568 K
svchost.exe                   4712 Services                   0     10,952 K
svchost.exe                   4724 Services                   0     24,840 K
svchost.exe                   4772 Services                   0     26,472 K
PMAService.exe                4788 Services                   0      4,428 K
escsvc64.exe                  4796 Services                   0      1,172 K
esif_uf.exe                   4832 Services                   0      1,320 K
ibtsiva.exe                   4856 Services                   0      1,168 K
svchost.exe                   4904 Services                   0     13,620 K
servicehost.exe               4960 Services                   0     18,700 K
svchost.exe                   4988 Services                   0      4,164 K
pg_ctl.exe                    5028 Services                   0      1,068 K
pg_ctl.exe                    5056 Services                   0        800 K
svchost.exe                   5092 Services                   0      1,088 K
svchost.exe                   4296 Services                   0      6,376 K
svchost.exe                   4652 Services                   0        964 K
